frame_index,angle_deg
455,99.4775
456,101.4110
457,103.0849
458,104.7413
459,106.3304
460,108.5357
461,110.5721
462,112.4041
463,114.1758
464,115.9099
465,117.0002
466,117.9755
467,118.8841
468,119.6993
469,120.6710
470,121.5102
471,122.2810
472,123.0056
473,123.9911
474,125.0281
475,126.1147
476,127.3022
477,128.6943
478,129.9744
479,131.1780
480,132.2101
481,133.4745
482,134.2771
483,134.9786
484,135.5536
485,136.5418
486,137.1355
487,138.0276
488,138.8970
489,139.8153
490,140.4203
491,141.3965
492,142.7441
493,143.7772
494,144.4362
495,145.2843
496,145.6756
497,145.6869
498,145.3300
499,146.0949
500,146.9716
501,147.7221
502,148.3154
503,149.5013
504,149.9446
505,150.1564
506,150.7625
507,150.4265
508,151.0785
509,150.7693
510,150.4697
511,149.9030
512,150.5250
513,150.4004
514,150.9892
515,151.7958
516,152.2367
517,152.4350
518,152.5361
519,152.2630
520,151.4911
521,151.0742
522,150.6516
523,149.7805
524,149.2406
525,148.5629
526,147.2293
527,145.8961
528,143.8026
529,140.9558
530,138.2542
531,135.5136
532,132.9349
533,130.9913
534,129.1701
535,126.8055
536,124.6102
537,121.8840
538,118.8952
539,116.5118
540,114.4240
541,111.8861
542,108.9257
543,106.3611
544,103.5233
545,100.8375
546,98.6370
547,97.0556
548,95.5595
549,94.1522
550,92.7440
551,91.7162
552,90.6128
553,89.4446
554,88.1443
555,86.5770
556,84.7360
557,83.0951
558,81.3800
559,79.9177
560,78.7868
561,78.0877
562,77.4205
563,76.9444
564,76.5255
565,76.0385
566,75.3856
567,74.7408
568,74.1440
569,73.4761
570,73.0320
571,72.7134
572,72.2450
573,71.8844
574,71.4937
575,71.1997
576,70.7867
577,70.5507
578,70.2865
579,70.2739
580,70.1405
581,70.1878
582,70.2534
583,70.2172
584,70.1364
585,70.0761
586,69.9575
587,69.8744
588,69.8367
589,69.7525
590,69.6280
591,69.5183
592,69.3569
593,69.2378
594,69.0099
595,68.8057
596,68.7015
597,68.6068
598,68.5497
599,68.6453
600,68.8213
601,68.8976
602,68.8427
603,68.8223
604,68.7349
605,68.6496
606,68.5857
607,68.5962
608,68.4904
609,68.4126
610,68.2550
611,68.0179
612,67.6870
613,67.3146
614,66.9599
615,66.8283
616,66.7461
617,66.7752
618,66.8194
619,66.8825
620,66.7852
621,66.6193
622,66.4618
623,66.4211
624,66.2910
625,66.1840
626,66.2874
627,66.5338
628,66.9068
629,67.6320
630,68.9688
631,70.7290
632,73.2755
633,76.1153
634,79.2389
