rep_index,start_idx,end_idx,duration,label,reason,rom
1,44,188,4.8,fail,"Too slow",119.4
2,225,348,4.1,fail,"Too slow",115.6
3,387,508,4.03,fail,"Too slow",118.1
4,535,641,3.53,pass,"Good rep",122.7
