frame_index,angle_deg
455,43.8693
456,43.6260
457,43.6590
458,44.1749
459,45.1647
460,46.8610
461,48.8282
462,50.6523
463,53.2112
464,55.5831
465,58.9130
466,62.6143
467,67.9128
468,72.6694
469,78.3091
470,84.0588
471,90.3236
472,95.5579
473,100.4166
474,104.1666
475,107.6913
476,110.4184
477,113.2252
478,116.9068
479,121.3092
480,125.0299
481,129.2443
482,133.0057
483,136.3140
484,139.4814
485,142.1850
486,144.4412
487,147.0189
488,149.6149
489,151.8677
490,154.0907
491,155.9967
492,157.5084
493,158.6637
494,159.5714
495,160.3808
496,160.9616
497,161.3198
498,161.2475
499,161.0866
500,160.7233
501,160.4238
502,160.1110
503,160.0785
504,160.3295
505,160.6977
506,161.0108
507,161.4504
508,161.7501
509,161.3538
510,161.4359
511,161.3811
512,160.8760
513,160.0961
514,159.4064
515,157.6648
516,155.8970
517,154.0813
518,151.8275
519,149.0353
520,146.6535
521,143.9577
522,140.4287
523,137.6712
524,134.8657
525,131.3368
526,128.3596
527,125.6918
528,122.2099
529,119.6617
530,117.9297
531,115.9561
532,114.2834
533,112.9783
534,111.3321
535,109.3156
536,106.8145
537,104.0039
538,101.2878
539,97.8486
540,93.9509
541,90.1667
542,87.0011
543,83.7961
544,81.2453
545,79.3000
546,77.6826
547,75.9684
548,74.4454
549,73.1019
550,71.7104
551,70.4552
552,69.0804
553,67.5996
554,66.3346
555,65.1350
556,63.7525
557,62.8407
558,61.8951
559,60.5932
560,59.3128
561,58.1267
562,56.7051
563,55.5083
564,54.3227
565,53.0590
566,52.1165
567,51.4626
568,50.8628
569,50.7075
570,50.8967
571,50.9499
572,50.6324
573,50.4342
574,50.0635
575,49.8312
576,49.6733
577,49.7657
578,49.8963
579,49.9599
580,49.6649
581,49.0755
582,48.3975
583,47.6361
584,46.9285
585,46.2471
586,45.5814
587,45.1312
588,44.5289
589,43.8232
590,43.3084
591,43.2657
592,43.5401
593,44.2062
594,45.6388
595,47.5627
596,49.4572
597,51.2748
598,53.5907
599,56.6014
600,60.5275
601,65.4186
602,71.0066
603,76.8574
604,83.5177
605,89.4483
606,95.2567
607,100.6147
608,104.6338
609,107.8445
610,111.4190
611,114.8713
612,118.4796
613,122.6337
614,125.5748
615,128.0792
616,130.4785
617,132.5808
618,135.2294
619,138.6196
620,141.7018
621,144.4473
622,147.0736
623,149.0907
624,150.7401
625,152.2789
626,153.6788
627,155.3870
628,157.1482
629,158.6958
630,160.3016
631,161.7472
632,162.7347
633,163.5498
634,164.1403
635,164.5583
636,164.8242
637,164.9999
638,165.1680
639,165.4130
640,165.6756
641,165.9980
642,166.3352
643,166.6207
644,166.7775
645,166.8077
646,166.7522
647,166.5484
648,166.1890
649,165.6039
650,164.2956
651,162.4138
652,160.3523
653,158.0768
654,155.8501
655,154.0375
656,152.3086
657,150.2571
658,147.6939
659,144.9257
660,141.4109
661,137.8785
662,135.1083
663,131.9501
664,129.2455
665,126.7651
666,123.9656
667,120.5476
668,118.0357
669,115.7183
670,114.0170
671,112.7168
672,111.1141
673,109.5297
674,107.6328
675,105.4802
676,103.2440
677,100.9901
678,98.0130
679,94.3569
680,90.9131
681,87.7447
682,84.4732
683,82.3770
684,80.5731
685,78.7277
686,76.3829
687,74.3240
688,72.1782
689,70.1096
690,67.9363
691,66.3405
692,65.2017
693,63.8154
694,62.3659
695,60.9934
696,59.6164
697,58.1090
698,56.6393
699,55.4793
700,54.6172
701,54.4361
702,54.1221
703,54.0307
704,54.1821
705,54.1910
706,53.6449
707,53.4893
708,53.0344
709,52.4252
710,51.9887
711,51.4012
712,50.6531
713,50.2023
714,50.0193
715,49.8122
716,49.7709
717,49.7146
718,49.4041
719,48.5629
720,47.5715
721,46.5351
722,45.6907
723,45.0808
724,44.8534
725,44.8551
726,44.7831
727,44.6335
728,44.3241
729,43.8931
730,43.5064
731,43.2157
732,42.9552
733,42.8319
734,42.8781
735,42.9300
736,43.0227
737,43.1530
738,43.6461
739,44.8399
740,45.9091
741,47.5214
742,49.7602
743,52.0719
744,53.9946
745,57.2745
746,60.6542
